Symbol,Company,Bonus (%),Cash (%),Total (%),Announcement Date,Book Closure Date,Fiscal Year
MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,10,10,20,2022-12-21,2023-01-06,2078/2079
PIC,Premier Insurance Company (Nepal) Limited,14.25,0.75,15,2022-11-16,2023-01-06,2078/2079
IGIL,IME General Insurance Limited,6,0.32,6.32,2022-11-22,2023-01-11,2078/2079
NIL,Neco Insurance Limited,15,0.79,15.79,2022-12-05,2023-01-17,2078/2079
AKBSL,Adhikhola Laghubitta Bittiya Sanstha Limited,30,1.58,31.58,2022-12-26,2023-01-17,2078/2079
ULI,Union Life Insurance Company Limited,8.97,0,8.97,2022-12-28,2023-01-30,2077/2078
SICL,Shikhar Insurance Company Limited,16,0.8421,16.8421,2022-12-16,2023-01-31,2078/2079
NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,22,1.1579,23.1579,2022-12-22,2023-01-31,2078/2079
RIDI,Ridi Power Company Limited,40,2.1,42.1,2022-11-22,2023-02-01,2078/2079
TRH,Taragaon Regency Hotel Limited,0,8.42,8.42,2023-01-11,2023-02-01,2078/2079
AHPC,Arun Valley Hydropower Development Company Limited,8,0.421,8.421,2022-12-02,2023-02-01,2078/2079
GMFIL,Guheswori Merchant Banking & Finance Limited,6.5,0.34,6.84,2022-12-21,2023-02-03,2078/2079
SIC,Sagarmatha Insurance Company Limited,12.4,0.6579,13.0579,2022-12-21,2023-02-10,2078/2079
LGIL,Lumbini General Insurance Limited,6.99,0.3679,7.3579,2022-12-29,2023-02-10,2078/2079
JBBL,Jyoti Bikash Bank Limited,3,3.8,6.8,2023-01-08,2023-02-12,2078/2079
ILBS,Infinity Laghubitta Bittiya Sanstha Limited,20,0,20,2023-01-16,2023-02-14,2078/2079
NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,19,1,20,2023-01-04,2023-02-14,2078/2079
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,61.75,3.25,65,2023-01-29,2023-02-16,2078/2079
API,Api Power Company Limited,7.5,0.3947,7.8947,2023-01-06,2023-02-16,2078/2079
MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,15,0.7895,15.7895,2023-01-13,2023-02-17,2078/2079
MLBSL,Mahila Laghubitta Bittiya Sanstha Limited,47.5,2.5,50,2023-01-10,2023-02-17,2078/2079
CORBL,Corporate Development Bank Limited,5,0.26,5.26,2023-02-14,2023-02-22,2078/2079
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,15,6.05,21.05,2023-01-12,2023-02-22,2078/2079
NGPL,Ngadi Group Power Limited,4.75,0.25,5,2023-02-13,2023-02-22,2078/2079
PRIN,Prabhu Insurance Company Limited,6.7,0.35,7.05,2023-01-09,2023-02-24,2078/2079
SABSL,Sabaiko Laghubitta Bittiya Sanstha Limited,18,0.95,18.95,2023-01-26,2023-02-26,2078/2079
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),11,0.58,11.58,2023-01-29,2023-02-26,2078/2079
GILB,Global IME Laghubitta Bittiya Sanstha Limited,12,8,20,2023-01-19,2023-02-28,2078/2079
ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,20,1.05,21.05,2023-02-02,2023-02-28,2078/2079
LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,15,5,20,2023-01-19,2023-03-01,2078/2079
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,10,11.0526,21.0526,2023-01-10,2023-03-03,2078/2079
SMB,Support Laghubitta Bittiya Sanstha Limited,11,0.5789,11.5789,2023-01-16,2023-03-05,2078/2079
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,22,3.26,25.26,2023-01-12,2023-03-09,2078/2079
STC,Salt Trading Corporation Limited,10,5,15,2023-01-12,2023-03-10,2078/2079
ALBSL,Asha Laghubitta Bittiya Sanstha Limited,14.2857,0.7143,15,2023-02-07,2023-03-10,2078/2079
SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,26,1.3684,27.3684,2022-12-06,2023-03-12,2078/2079
SADBL,Shangrila Development Bank Limited,8.534,0.449,8.983,2023-02-10,2023-03-12,2078/2079
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Limited,22,1.1579,23.1579,2023-01-12,2023-03-14,2078/2079
ADBL,Agricultural Development Bank Limited,2,11,13,2023-01-10,2023-03-14,2078/2079
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,15,3,18,2023-02-05,2023-03-15,2078/2079
RMDC,RMDC Laghubitta Bittiya Sanstha Limited,26,1.3684,27.3684,2022-12-06,2023-03-15,2078/2079
MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,4.75,0.25,5,2023-01-31,2023-03-15,2078/2079
PICL,Prudential Insurance Company Limited,3.325,0.175,3.5,2023-01-03,2023-03-17,2078/2079
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,20,1.0526,21.0526,2023-01-26,2023-03-17,2078/2079
HEI,Himalayan Everest Insurance Limited,2.75,0.14,2.89,2023-01-11,2023-03-17,2078/2079
UMHL,United Modi Hydropower Limited,7,0.368,7.368,2023-01-16,2023-03-23,2078/2079
JSLBB,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,15,0.7895,15.7895,2023-03-05,2023-03-24,2078/2079
SIKLES,Sikles Hydropower Limited,0,10.526,10.526,2023-03-14,2023-03-27,2078/2079
NLG,NLG Insurance Company Limited,10,0.5263,10.5263,2022-12-04,2023-03-27,2078/2079
NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,19,1,20,2023-01-16,2023-03-29,2078/2079
KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,19,1,20,2023-01-23,2023-03-30,2078/2079
VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,20,1.0526,21.0526,2023-02-09,2023-03-30,2078/2079
JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,14.285,0.714,14.99,2023-02-20,2023-03-31,2078/2079
NMBMF,NMB Laghubitta Bittiya Sanstha Limited,10,0.5263,10.5263,2023-01-12,2023-03-31,2078/2079
KLBSL,Kisan Laghubitta Bittiya Sanstha Limited(Former NRN Laghubitta Bittiya Sanstha Limited),7,0.3684,7.3684,2023-02-22,2023-04-03,2078/2079
GLICL,Gurans Life Insurance Company Limited,13.2712,0,13.2712,2023-03-26,2023-04-06,2077/2078
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,14.25,0.75,15,2023-01-10,2023-04-12,2078/2079
NICLBSL,NIC Asia Laghubitta Bittiya Sanstha Limited,0,14.75,14.75,2023-03-07,2023-04-14,2078/2079
NMFBS,National Laghubitta Bittiya Sanstha Limited,15,0,15,2023-01-24,2023-04-17,2078/2079
ALICL,Asian Life Insurance Company Limited,8.5,0.445,8.945,2023-03-14,2023-04-21,2078/2079
SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,15,0,15,2023-03-01,2023-04-27,2078/2079
KSBBL,Kamana Sewa Bikas Bank Limited,4.41,0.2321,4.6421,2023-04-02,2023-04-28,2078/2079
NLICL,National Life Insurance Company Limited,8,6.5,14.5,2023-04-16,2023-05-25,2078/2079
PLI,Prabhu Life Insurance Limited,9.8,0.5158,10.3158,2023-05-17,2023-05-26,2077/2078
SMFDB,Summit Laghubitta Bittiya Sanstha Limited,13.5628,0.7138,14.2766,2023-02-28,2023-06-05,2078/2079
JALPA,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,14.25,0.75,15,2022-11-06,2023-06-06,2078/2079
NRIC,Nepal Reinsurance Company Limited,4.75,0.25,5,2023-04-30,2023-06-22,2078/2079
SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,10,5,15,2023-02-22,2023-06-29,2078/2079
CIT,Citizen Investment Trust,25,1.3158,26.3158,2023-05-14,2023-07-04,2078/2079
RLFL,Reliance Finance Limited,6.5,0.34,6.84,2023-06-11,2023-07-05,2078/2079
NIBLSF,NIBL Sahabhagita Fund,,4,4,2023-07-28,2023-07-27,2079/2080
NADDF,NIC Asia Dynamic Debt Fund,,10,10,2023-08-05,2023-08-04,2079/2080
SAMAJ,Samaj Laghubitta Bittiya Sanstha Limited,14.25,0.75,15,2023-07-26,2023-08-06,2078/2079
LEMF,Laxmi Equity Fund,,8,8,2023-07-30,2023-08-17,2079/2080
LUK,Laxmi Unnati Kosh,,9.5,9.5,2023-07-30,2023-08-17,2079/2080
SEF,Siddhartha Equity Fund,,5,5,2023-08-18,2023-08-30,2079/2080
SIGS2,Siddhartha Investment Growth Scheme-2,,6.5,6.5,2023-08-18,2023-08-30,2079/2080
KEF,Kumari Equity Fund,,10,10,2023-08-11,2023-09-04,2079/2080
KDBY,Kumari Dhanabriddhi Yojana,,6,6,2023-08-11,2023-09-04,2079/2080
CMF2,Citizens Mutual Fund - 2,0,8,8,2023-08-27,2023-09-05,2079/2080
NIBLPF,NIBL Pragati Fund,,6.8,6.8,2023-09-03,2023-09-19,2079/2080
CBIL,Citizens Capital Ltd. (Former CBIL Capital ),,12,12,2023-09-14,2023-09-25,2079/2080
MBL,Machhapuchchhre Bank Limited,13.3,0.7,14,2023-08-30,2023-09-25,2079/2080
OHL,Oriental Hotel Limited,,5.2632,5.2632,2023-09-19,2023-09-29,2079/2080
NMB50,NMB 50,,15,15,2023-09-19,2023-09-29,2079/2080
PSF,Prabhu Select Fund,,9.5,9.5,2023-09-12,2023-09-29,2079/2080
NMBHF1,NMB Hybrid Fund L- 1,,15,15,2023-09-19,2023-09-29,2079/2080
SAEF,Sanima Equity Fund,,18,18,2023-09-10,2023-10-01,2079/2080
SFMF,Sunrise First Mutual Fund,0,16,16,2023-08-11,2023-10-01,2079/2080
CZBIL,Citizens Bank International Limited,,5.79,5.79,2023-09-17,2023-10-02,2079/2080
NICA,NIC Asia Bank Limited,29,1.52,30.52,2023-09-15,2023-10-03,2079/2080
EBL,Everest Bank Limited,10,10.53,20.53,2023-09-13,2023-10-03,2079/2080
NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,,15,15,2023-09-17,2023-10-05,2078/2079
SANIMA,Sanima Bank Limited,9,5.7,14.7,2023-09-15,2023-10-09,2079/2080
SHPC,Sanima Mai Hydropower Limited,10,0.5263,10.53,2023-10-04,2023-10-11,2079/2080
GIBF1,Global IME Balance Fund-I,,5,5,2023-10-03,2023-10-12,2079/2080
NBF2,Nabil Balanced Fund - 2,,9.6,9.6,2023-09-29,2023-10-13,2079/2080
SBL,Siddhartha Bank Limited,,4.21,4.21,2023-10-12,2023-11-07,2079/2080
NIIFL,Nepal Infrastructures Investment Fund Limited,,1.0526,1.0526,2023-10-09,2023-11-07,2079/2080
NICGF,NIC Asia Growth Fund,,10.5,10.5,2023-10-16,2023-11-08,2079/2080
NICBF,NIC ASIA Balanced Fund,,10,10,2023-10-16,2023-11-08,2079/2080
MANDU,Mandu Hydropower Limited,,10,10,2023-11-03,2023-11-20,2079/2080
ENL,Emerging Nepal Limited,,8.4211,8.4211,2023-11-08,2023-11-22,2079/2080
SCB,Standard Chartered Bank Nepal Limited,,19,19,2023-10-31,2023-11-23,2079/2080
RSDC,RSDC Laghubitta Bittiya Sanstha Limited,8.6,0.4526,9.0526,2023-10-08,2023-11-23,2079/2080
SADBL,Shangrila Development Bank Limited,5,0.263,5.263,2023-10-20,2023-11-27,2079/2080
SHINE,Shine Resunga Development Bank Limited,10.5,0.55,11.05,2023-10-11,2023-11-27,2079/2080
UNL,Unilever Nepal Limited,,"1,580.00","1,580.00",2023-10-16,2023-11-28,2079/2080
GBIME,Global IME Bank Limited,1,8,9,2023-11-05,2023-11-29,2079/2080
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,12.3599,0.6505,13.0104,2023-10-18,2023-12-08,2079/2080
NHDL,Nepal Hydro Developer Limited,7,0.37,7.37,2023-12-03,2023-12-11,2079/2080
NICLBSL,NIC Asia Laghubitta Bittiya Sanstha Limited,,15,15,2023-10-18,2023-12-11,2079/2080
MDB,Miteri Development Bank Limited,9.5,0.5,10,2023-11-09,2023-12-14,2079/2080
NICL,Nepal Insurance Company Limited,10,0.5263,10.5263,2023-11-26,2023-12-14,2079/2080
NABIL,Nabil Bank Limited,,11,11,2023-11-23,2023-12-15,2079/2080
SBI,Nepal SBI Bank Limited,3.75,6.8,10.55,2023-11-20,2023-12-15,2079/2080
BGWT,Bhagawati Hydropower Development Company Limited,,10.5263,10.5263,2023-12-11,2023-12-21,2079/2080
SHL,Soaltee Hotel Limited,5,26.5789,31.5789,2023-11-20,2023-12-21,2079/2080
NIFRA,Nepal Infrastructure Bank Limited,,4.2105,4.2105,2023-11-07,2023-12-22,2079/2080
CHCL,Chilime Hydro power Company Limited,10,5,15,2023-12-10,2023-12-24,2079/2080
NLO,Nepal Lube Oil Limited,25,5,30,2023-12-18,2023-12-26,2079/2080
MFIL,Manjushree Finance Limited,,5.263,5.263,2023-12-01,2023-12-27,2079/2080
TRH,Taragaon Regency Hotel Limited,4,11,15,2023-12-04,2023-12-28,2079/2080
FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,7.5,7.5,15,2023-11-30,2023-12-28,2079/2080
HATHY,Hathway Investment Nepal Limited,10,0.526,10.526,2023-12-19,2023-12-28,2079/2080
ICFC,ICFC Finance Limited,,6.5,6.5,2023-12-10,2023-12-29,2079/2080
HDL,Himalayan Distillery Limited,10,15,25,2023-12-04,2023-12-29,2079/2080
SIKLES,Sikles Hydropower Limited,,6,6,2023-12-21,2023-12-29,2079/2080
RADHI,Radhi Bidyut Company Limited,4.75,0.25,5,2023-12-24,2023-12-31,2079/2080
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,10,5,15,2023-12-11,2024-01-01,2079/2080
SMB,Support Laghubitta Bittiya Sanstha Limited,13,0.6842,13.6842,2023-11-08,2024-01-01,2079/2080
SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,14.25,0.75,15,2023-12-10,2024-01-01,2079/2080
GCIL,Ghorahi Cement Industry Limited,15,,15,2023-12-22,2024-01-01,2079/2080
GBBL,Garima Bikas Bank Limited,9.5,0.5,10,2023-12-21,2024-01-02,2079/2080
BHDC,Bindhyabasini Hydropower Development Company Limited,,5.2632,5.2632,2023-12-20,2024-01-02,2079/2080
SMHL,Super Madi Hydropower Limited,,2,2,2023-12-24,2024-01-02,2079/2080
RURU,Ru Ru Jalbidhyut Pariyojana Limited,,10.5263,10.5263,2023-12-18,2024-01-02,2079/2080
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,5,10,15,2023-12-12,2024-01-02,2079/2080
LBBL,Lumbini Bikas Bank Limited,4,4.5,8.5,2023-12-12,2024-01-02,2079/2080
KPCL,Kalika Power Company Limited,10,0.5263,10.5263,2023-12-24,2024-01-03,2079/2080
HIDCL,Hydroelectricity Investment and Development Company Limited,,5.263,5.263,2023-12-21,2024-01-03,2079/2080
RBBL,Rastriya Banijya Bank Limited,,5.5,5.5,2023-12-24,2024-01-03,2079/2080
JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,14,0.7369,14.7369,2023-12-18,2024-01-03,2079/2080
UPCL,Universal Power Company Limited,8.55,0.45,9,2023-12-26,2024-01-03,2079/2080
LSL,Laxmi Sunrise Bank Limited,7,0.37,7.37,2023-12-13,2024-01-04,2079/2080
MNBBL,Muktinath Bikas Bank Limited,9.75,0.5132,10.2632,2023-12-22,2024-01-04,2079/2080
SHIVM,Shivam Cements Limited,14.25,0.75,15,2023-12-19,2024-01-04,2079/2080
NTC,Nepal Doorsanchar Company Limited,,40,40,2023-12-22,2024-01-04,2079/2080
GILB,Global IME Laghubitta Bittiya Sanstha Limited,,10,10,2023-12-11,2024-01-04,2079/2080
MLBL,Mahalaxmi Bikas Bank Limited,,6.4,6.4,2023-12-20,2024-01-04,2079/2080
BPCL,Butwal Power Company Limited,,5,5,2023-12-17,2024-01-04,2079/2080
MHL,Mandakini Hydropower Limited,4.75,0.25,5,2023-12-16,2024-01-05,2079/2080
SIFC,Shree Investment Finance Company Limited,,5.05,5.05,2023-12-13,2024-01-05,2079/2080
BNT,Bottlers Nepal (Terai) Limited,,60,60,2023-11-09,2024-01-05,2079/2080
MEDICARE,Medicare Hospital Limited,48.8095,14.3483,63.1578,2023-12-22,2024-01-07,2079/2080
CLI,Citizen Life Insurance Company Limited,5,0.2632,5.2632,2024-01-02,2024-01-14,2079/2080
HEI,Himalayan Everest Insurance Limited,8.63,6.37,15,2024-01-10,2024-01-28,2079/2080
RNLI,Reliable Nepal Life Insurance Limited,16,0.84,16.84,2024-01-10,2024-01-29,2079/2080
UAIL,United Ajod Insurance Limited,10.2612,0.5401,10.8013,2024-01-19,2024-02-05,2079/2080
NLG,NLG Insurance Company Limited,5.5,0.2895,5.7895,2024-01-14,2024-02-08,2079/2080
UMRH,United Idi-Mardi and R.B. Hydropower Limited,5.5,0.289,5.789,2024-02-05,2024-02-16,2079/2080
HRL,Himalayan Reinsurance Limited,4,0.21,4.21,2024-02-09,2024-02-19,2079/2080
ALICL,Asian Life Insurance Company Limited,7.75,0.4078,8.1578,2024-01-28,2024-02-20,2079/2080
SPIL,Siddhartha Premier Insurance Limited,,11,11,2024-02-05,2024-02-23,2079/2080
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Limited,7,0.3684,7.3684,2024-01-30,2024-02-25,2079/2080
NMFBS,National Laghubitta Bittiya Sanstha Limited,7.5,7.5,15,2024-02-06,2024-03-13,2079/2080
MEN,Mountain Energy Nepal Limited,15,0.7895,15.7895,2024-01-08,2024-03-13,2079/2080
STC,Salt Trading Corporation Limited,15,0.79,15.79,2024-01-11,2024-03-22,2079/2080
GRDBL,Green Development Bank Limited,3.8,0.2,4,2023-04-10,2024-03-22,2078/2079
SALICO,Sagarmatha Lumbini Insurance Company Limited,,5,5,2024-02-27,2024-03-26,2079/2080
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,10,0.5263,10.5263,2024-02-15,2024-03-28,2079/2080
MKJC,Mailung Khola Jal Vidhyut Company Limited,2.2211,0.1169,2.338,2024-03-21,2024-03-29,2079/2080
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,5.4222,0.2854,5.7076,2023-12-11,2024-04-01,2079/2080
SARBTM,Sarbottam Cement Limited,,15,15,2024-04-02,2024-04-12,2079/2080
SJLIC,SuryaJyoti Life Insurance Company Limited,10.26,24.74,35,2024-04-03,2024-04-19,2079/2080
PRIN,Prabhu Insurance Company Limited,4.75,0.25,5,2024-03-04,2024-04-19,2079/2080
CHDC,CEDB Holdings Limited,11,0.5789,11.5789,2024-04-23,2024-05-01,2078/2079
SNLI,Sun Nepal Life Insurance Company Limited,23.8,1.2526,25.0526,2024-02-25,2024-05-09,2079/2080
NRIC,Nepal Reinsurance Company Limited,4.75,0.25,5,2024-04-16,2024-05-19,2079/2080
ILI,IME Life Insurance Company Limited,25,1.3158,26.3158,2024-05-02,2024-05-27,2079/2080
NLIC,Nepal Life Insurance Company Limited,,21.05,21.05,2024-06-02,2024-06-18,2079/2080
CIT,Citizen Investment Trust,14,0.7368,14.7368,2024-06-14,2024-07-04,2079/2080
NLICL,National Life Insurance Company Limited,4,10,14,2024-07-12,2024-08-08,2079/2080
SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,14.0051,,14.0051,2024-07-25,2024-08-08,2079/2080
LUK,Laxmi Unnati Kosh,,7.5,7.5,2024-07-30,2024-08-15,2080/2081
LVF2,Laxmi Value Fund-II,,4.5,4.5,2024-07-30,2024-08-15,2080/2081
CBIL,Citizens Capital Ltd. (Former CBIL Capital ),,15.5,15.5,2024-08-11,2024-08-22,2080/2081
SFEF,Sunrise Focused Equity Fund,0,4.5,4.5,2024-08-09,2024-08-23,2080/2081
SFMF,Sunrise First Mutual Fund,0,12.5,12.5,2024-08-09,2024-08-23,2080/2081
KDBY,Kumari Dhanabriddhi Yojana,,9.5,9.5,2024-08-27,2024-09-04,2080/2081
KEF,Kumari Equity Fund,,9.5,9.5,2024-08-27,2024-09-04,2080/2081
SIGS3,Siddhartha Investment Growth Scheme 3,,7,7,2024-08-21,2024-09-08,2080/2081
CBILSL,CBIL Securities Limited,,5.26,5.26,2024-09-01,2024-09-10,2080/2081
NFCF,Nabil Flexi Cap Fund,,5,5,2024-09-11,2024-09-11,2080/2081
SAGF,Sanima Growth Fund,,10,10,2024-09-01,2024-09-11,2080/2081
SAEF,Sanima Equity Fund,,15,15,2024-09-01,2024-09-11,2080/2081
NICSF,NIC Asia Select-30,,14,14,2024-08-01,2024-09-13,2080/2081
NICFC,NIC Asia Flexi Cap Fund,,10.5,10.5,2024-08-01,2024-09-13,2080/2081
NICGF,NIC Asia Growth Fund,,9.5,9.5,2024-08-01,2024-09-13,2080/2081
NICBF,NIC ASIA Balanced Fund,,9.25,9.25,2024-08-01,2024-09-13,2080/2081
MANDU,Mandu Hydropower Limited,,12,12,2024-09-06,2024-09-16,2080/2081
RMF2,RBB Mutual Fund 2,,8.74,8.74,2024-09-05,2024-09-16,2080/2081
RMF1,RBB Mutual Fund 1,,3.81,3.81,2024-09-05,2024-09-16,2080/2081
BGWT,Bhagawati Hydropower Development Company Limited,4,10.7368,14.7368,2024-09-08,2024-09-18,2080/2081
NLO,Nepal Lube Oil Limited,20,5,25,2024-09-12,2024-09-20,2080/2081
OHL,Oriental Hotel Limited,5,0.2632,5.2632,2024-09-13,2024-09-23,2080/2081
CHDC,CEDB Holdings Limited,11,,11,2024-09-15,2024-09-23,2080/2081
EBL,Everest Bank Limited,10,5.53,15.53,2024-09-06,2024-09-24,2080/2081
ISCL,Imperial Securities Company Limited,25,,25,2024-09-13,2024-09-26,2080/2081
NSIF2,NMB Sulav Investment Fund - II,,10,10,2024-09-19,2024-09-27,2080/2081
SRLI,Sanima Reliance Life Insurance Limited,18.3811,,18.3811,2024-09-16,2024-09-27,2079/2080
NMB50,NMB 50,,15,15,2024-09-19,2024-09-27,2080/2081
NBF2,Nabil Balanced Fund - 2,,8,8,2024-09-11,2024-09-27,2080/2081
GIBF1,Global IME Balance Fund-I,,5,5,2024-09-13,2024-09-27,2080/2081
SRLI,Sanima Reliance Life Insurance Limited,18.3811,,18.3811,2024-09-16,2024-09-27,2080/2081
AELTD,Aashutosh Energy Limited,,5.263,5.263,2024-09-15,2024-09-28,2080/2081
SAHAS,Sahas Urja Limited,8,0.421,8.421,2024-09-18,2024-09-29,2080/2081
PSF,Prabhu Select Fund,,10,10,2024-09-18,2024-09-30,2080/2081
PRSF,Prabhu Smart Fund,,8.5,8.5,2024-09-18,2024-09-30,2080/2081
KSBBL,Kamana Sewa Bikas Bank Limited,7,5,12,2024-09-13,2024-10-01,2080/2081
PMLI,Prabhu Mahalaxmi Life Insurance Company Limited,10,0.526,10.526,2024-08-25,2024-10-02,2079/2080
GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,14.25,0.75,15,2024-09-10,2024-10-02,2080/2081
NIBLGF,NIBL Growth Fund,,6.35,6.35,2024-09-06,2024-10-02,2080/2081
SMHL,Super Madi Hydropower Limited,5,0.26,5.26,2024-09-25,2024-10-04,2080/2081
CMF2,Citizens Mutual Fund - 2,,6.5,6.5,2024-09-29,2024-10-09,2080/2081
C30MF,Citizens Super 30 Mutual Fund,,10,10,2024-09-29,2024-10-09,2080/2081
CMF1,Citizens Mutual Fund-1,,9,9,2024-09-29,2024-10-09,2080/2081
UNL,Unilever Nepal Limited,0.00,"1,714.00","1,714.00",2024-09-25,2024-10-14,2080/2081
CZBIL,Citizens Bank International Limited,4,0.21,4.21,2024-09-23,2024-10-15,2080/2081
RURU,Ru Ru Jalbidhyut Pariyojana Limited,15,0.789,15.789,2024-09-29,2024-10-16,2080/2081
API,Api Power Company Limited,5,0.2632,5.2632,2024-10-16,2024-10-18,2080/2081
AHPC,Arun Valley Hydropower Development Company Limited,3,0.157,3.157,2024-10-04,2024-10-21,2080/2081
HATHY,Hathway Investment Nepal Limited,10,0.526,10.526,2024-09-13,2024-10-23,2080/2081
H8020,Himalayan 80-20,,6,6,2024-10-08,2024-10-25,2080/2081
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,14.25,0.75,15,2024-09-29,2024-10-25,2080/2081
MEDICARE,Medicare Hospital Limited,,15,15,2024-10-09,2024-10-28,2080/2081
SANIMA,Sanima Bank Limited,,5.2632,5.2632,2024-10-09,2024-11-10,2080/2081
ALBSL,Asha Laghubitta Bittiya Sanstha Limited,14.25,0.75,15,2024-09-22,2024-11-10,2080/2081
SMJC,Sagarmatha Jalbidhyut Company Limited,4.75,0.25,5,2024-10-25,2024-11-11,2080/2081
MHL,Mandakini Hydropower Limited,5,0.2632,5.2632,2024-09-26,2024-11-13,2080/2081
BHDC,Bindhyabasini Hydropower Development Company Limited,8,,8,2024-10-30,2024-11-13,2080/2081
GBIME,Global IME Bank Limited,5.5,0,5.5,2024-10-08,2024-11-24,2080/2081
PCBL,Prime Commercial Bank Limited,0,5,5,2024-10-27,2024-11-24,2080/2081
NABIL,Nabil Bank Limited,,10,10,2024-10-30,2024-11-25,2080/2081
NFML,National Fund Management Limited,,5,5,2024-11-21,2024-11-27,2080/2081
SCB,Standard Chartered Bank Nepal Limited,6.5,19,25.5,2024-11-19,2024-11-27,2080/2081
SHL,Soaltee Hotel Limited,10,26.8421,36.8421,2024-10-30,2024-11-28,2080/2081
FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,13.3,0.7,14,2024-10-02,2024-11-29,2080/2081
SMB,Support Laghubitta Bittiya Sanstha Limited,13.775,0.725,14.5,2024-10-21,2024-11-29,2080/2081
SMH,Supermai Hydropower  Limited,7,5.631,12.63,2024-09-03,2024-12-02,2080/2081
NMFBS,National Laghubitta Bittiya Sanstha Limited,14.25,0.75,15,2024-10-25,2024-12-03,2080/2081
NRN,NRN Infrastructure and Development Limited,5,0.2632,5.2632,2024-11-27,2024-12-06,2080/2081
SJLIC,SuryaJyoti Life Insurance Company Limited,,20,20,2024-11-29,2024-12-06,2080/2081
FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,9,0.47,9.47,2024-10-30,2024-12-08,2080/2081
SHINE,Shine Resunga Development Bank Limited,3,5,8,2024-11-10,2024-12-18,2080/2081
RADHI,Radhi Bidyut Company Limited,4.75,0.25,5,2024-12-12,2024-12-19,2080/2081
SBI,Nepal SBI Bank Limited,3.8,6.85,10.65,2024-12-04,2024-12-22,2080/2081
TRH,Taragaon Regency Hotel Limited,0,11,11,2024-12-05,2024-12-22,2080/2081
NHDL,Nepal Hydro Developer Limited,8,0.42,8.42,2024-12-16,2024-12-23,2080/2081
SHPC,Sanima Mai Hydropower Limited,10,0.5263,10.5263,2024-12-10,2024-12-24,2080/2081
KBSH,Kutheli Bukhari Small Hydropower Limited,10,0.5236,10.5236,2024-11-26,2024-12-26,2080/2081
MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,14.25,0.75,15,2024-12-06,2024-12-26,2080/2081
MEN,Mountain Energy Nepal Limited,15,0.7895,15.7895,2024-12-03,2024-12-26,2080/2081
MFIL,Manjushree Finance Limited,0,6.35,6.35,2024-12-09,2024-12-26,2080/2081
RSDC,RSDC Laghubitta Bittiya Sanstha Limited,9.5,0.5,10,2024-10-18,2024-12-26,2080/2081
SARBTM,Sarbottam Cement Limited,7,3,10,2024-12-19,2024-12-27,2080/2081
HIDCL,Hydroelectricity Investment and Development Company Limited,0,5.25,5.25,2024-12-11,2024-12-27,2080/2081
GVL,Green Ventures Limited,10,0.5263,10.5263,2024-12-22,2024-12-29,2080/2081
SBL,Siddhartha Bank Limited,0,4,4,2024-12-08,2024-12-29,2080/2081
MLBL,Mahalaxmi Bikas Bank Limited,3,4,7,2024-12-16,2024-12-31,2080/2081
